iter	Passed	Remaining
0	0	92
1	1	85
2	2	86
3	3	83
4	4	82
5	5	81
6	5	78
7	6	77
8	7	77
9	8	75
10	9	76
11	10	75
12	11	75
13	12	74
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	19	65
23	20	64
24	21	63
25	22	63
26	23	62
27	24	61
28	24	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	54
37	32	53
38	33	52
39	34	51
40	34	50
41	35	48
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	31
62	51	30
63	52	29
64	53	28
65	53	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
